ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
NONE (ARTEFACT),LIDAR_031,False,0.0000,0.000,0.000,0.000,0.00,37.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_032,False,0.0000,0.000,0.000,0.000,0.00,29.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_033,False,0.0000,0.000,0.000,0.000,0.00,26.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_034,False,0.0000,0.000,0.000,0.000,0.00,2916.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_035,False,0.0000,0.000,0.000,0.000,0.00,51.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_036,False,0.0000,0.000,0.000,0.000,0.00,44.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_037,False,0.0000,0.000,0.000,0.000,0.00,162.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_038,False,0.0000,0.000,0.000,0.000,0.00,1509.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_039,False,0.0000,0.000,0.000,0.000,0.00,740.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_040,False,0.0000,0.000,0.000,0.000,0.00,24.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_041,False,0.0000,0.000,0.000,0.000,0.00,226.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_042,False,0.0000,0.000,0.000,0.000,0.00,23.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_043,False,0.0000,0.000,0.000,0.000,0.00,1536.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_044,False,0.0000,0.000,0.000,0.000,0.00,20.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_045,False,0.0000,0.000,0.000,0.000,0.00,104.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_046,False,0.0000,0.000,0.000,0.000,0.00,3655.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_047,False,0.0000,0.000,0.000,0.000,0.00,2170.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_048,False,0.0000,0.000,0.000,0.000,0.00,382.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_049,False,0.0000,0.000,0.000,0.000,0.00,19.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_050,False,0.0000,0.000,0.000,0.000,0.00,16.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_051,False,0.0000,0.000,0.000,0.000,0.00,27.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_052,False,0.0000,0.000,0.000,0.000,0.00,753.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_053,False,0.0000,0.000,0.000,0.000,0.00,17.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_054,False,0.0000,0.000,0.000,0.000,0.00,276.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_055,False,0.0000,0.000,0.000,0.000,0.00,21.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_056,False,0.0000,0.000,0.000,0.000,0.00,22.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_057,False,0.0000,0.000,0.000,0.000,0.00,4545.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
